title,time,authors,link
Amazon Redshift Engineering\xe2\x80\x99s Advanced Table Design Playbook: Distribution Styles and Distribution Keys,2016-12-05T13:05:41+00:00,['Zach Christopherson'],https://aws.amazon.com/blogs/big-data/amazon-redshift-engineerings-advanced-table-design-playbook-distribution-styles-and-distribution-keys/
"Amazon Redshift Engineering\xe2\x80\x99s Advanced Table Design Playbook: Preamble, Prerequisites, and Prioritization",2016-12-05T13:04:36+00:00,['Zach Christopherson'],https://aws.amazon.com/blogs/big-data/amazon-redshift-engineerings-advanced-table-design-playbook-preamble-prerequisites-and-prioritization/
Analyzing Data in S3 using Amazon Athena,2016-11-30T12:09:18+00:00,"['Abhishek Sinha', 'Neil Mukerje']",https://aws.amazon.com/blogs/big-data/analyzing-data-in-s3-using-amazon-athena/
Introducing the Data Lake Solution on AWS,2016-11-29T16:05:35+00:00,['Nick Corbett'],https://aws.amazon.com/blogs/big-data/introducing-the-data-lake-solution-on-aws/
Low-Latency Access on Trillions of Records: FINRA\xe2\x80\x99s Architecture Using Apache HBase on Amazon EMR with Amazon S3,2016-11-21T13:41:16+00:00,['John Hitchingham'],https://aws.amazon.com/blogs/big-data/low-latency-access-on-trillions-of-records-finras-architecture-using-apache-hbase-on-amazon-emr-with-amazon-s3/
Dynamically Scale Applications on Amazon EMR with Auto Scaling,2016-11-18T15:59:26+00:00,['Jonathan Fritz'],https://aws.amazon.com/blogs/big-data/dynamically-scale-applications-on-amazon-emr-with-auto-scaling/
Build a Community of Analysts with Amazon QuickSight,2016-11-17T12:29:01+00:00,['Nick Corbett'],https://aws.amazon.com/blogs/big-data/build-a-community-of-analysts-with-amazon-quicksight/
Scale Your Amazon Kinesis Stream Capacity with UpdateShardCount,2016-11-15T17:32:44+00:00,['Allan MacInnis'],https://aws.amazon.com/blogs/big-data/scale-your-amazon-kinesis-stream-capacity-with-updateshardcount/
re:Invent 2016: AWS Big Data & Machine Learning Sessions,2016-11-10T11:17:05+00:00,['Roy Ben-Alta'],https://aws.amazon.com/blogs/big-data/reinvent-2016-aws-big-data-machine-learning-sessions/
Use Apache Flink on Amazon EMR,2016-11-04T09:24:01+00:00,['Craig Foster'],https://aws.amazon.com/blogs/big-data/use-apache-flink-on-amazon-emr/
Month in Review: October 2016,2016-11-02T14:38:51+00:00,['Derek Young'],https://aws.amazon.com/blogs/big-data/month-in-review-october-2016/
Using pgpool and Amazon ElastiCache for Query Caching with Amazon Redshift,2016-10-28T10:54:19+00:00,['Felipe Garcia'],https://aws.amazon.com/blogs/big-data/using-pgpool-and-amazon-elasticache-for-query-caching-with-amazon-redshift/
Fact or Fiction: Google BigQuery Outperforms Amazon Redshift as an Enterprise Data Warehouse?,2016-10-26T16:00:46+00:00,[],https://aws.amazon.com/blogs/big-data/fact-or-fiction-google-big-query-outperforms-amazon-redshift-as-an-enterprise-data-warehouse/
Running sparklyr \xe2\x80\x93 RStudio\xe2\x80\x99s R Interface to Spark on Amazon EMR,2016-10-18T10:04:00+00:00,['Tom Zeng'],https://aws.amazon.com/blogs/big-data/running-sparklyr-rstudios-r-interface-to-spark-on-amazon-emr/
Optimize Amazon S3 for High Concurrency in Distributed Workloads,2016-10-10T12:26:58+00:00,['Aaron Friedman'],https://aws.amazon.com/blogs/big-data/optimizing-amazon-s3-for-high-concurrency-in-distributed-workloads/
